Name,Subject,Number,Credits,Description,Restrictions
Macro,ECON,2101,,"Scope and methodology of economics as a social science, the measurement of national income, the theory of national income determination, money and banking, monetary and fiscal policy, and international economics.",Sophomore standing.
Micro,ECON,2102,,"Pricing mechanism of a market economy, the industrial organization of the U.S. economy, problems of economic concentration, the theory of income distribution, and comparative economic systems.",Sophomore standing.
ECON 3090 - Topics in Economics,ECON,3090,,"Topics from the areas of economic theory, economic development, consumer economics, welfare economics, and current economic problems.",Permission of department.
ECON 3106 - Labor Economics,ECON,3106,,"Economics of labor markets with emphasis on wage and employment theory, collective bargaining, and human capital theory.  Historical and legal forces affecting labor markets.",
ECON 3107 - Employment Law,ECON,3107,,"Legal principles and legislation which control employment decisions in union and non-union settings. Topics include: fair employment practices, anti-discrimination law, representation elections, unfair labor practices, and dispute settlement processes.",
ECON 3112 - Econometrics,ECON,3112,,"Econometric techniques, including simple and multiple least squares regression with problems and analyses.",
ECON 3115 - Money and Banking,ECON,3115,,"Basic economic theory is used to understand how financial markets, the monetary system, banks, and financial institutions work. There is a specific focus on the basic economic purpose of these institutions, how they interact with households and firms, and how economic policy interacts with these institutions.",
ECON 3122 - Intermediate Microeconomics,ECON,3122,,Microeconomic analysis with emphasis on consumer theory and the theory of production. Resource allocation and the determination of optimum output and pricing by a firm operating under various market structures. Distribution and welfare theories.,
ECON 3123 - Intermediate Macroeconomics,ECON,3123,,"Macroeconomics studies the evolution of the aggregate economy. At the intermediate level the focus is on how the interaction of individual, household, and firm decisions add up to aggregate macroeconomic statistics, such as GDP , aggregate employment and unemployment, or aggregate inflation. Macroeconomic data as well as related theoretical models are analyzed. Predictions of these theoretical models are used to study policy decisions such as interest rate policy by central banks and tax/transfer policy by fiscal authorities.",
ECON 3125 - Managerial Economics,ECON,3125,,Economic decisions of particular interest to business firms .,
ECON 3131 - Economic History of the United States,ECON,3131,,"Use of economic models to further understanding of the growth and development of the U.S. economy from colonial times to the Great Depression. Emphasis on the sources and consequences of American growth, with particular emphasis on technological, demographic, and institutional changes.",
ECON 3141 - Health Economics,ECON,3141,,"The application of microeconomic concepts to markets for health/medical care, including issues such as healthcare delivery, financing, regulation, and costs.",
ECON 3151 - Law and Economics,ECON,3151,,"The application of microeconomic concepts to the law with an emphasis on examining the impact of laws on resource use, with the goal of using resources efficiently.  The emphasis is on property, contract, tort, and criminal law.",
ECON 3161 - Game Theory,ECON,3161,,"First course in game theory. The beginning of the course focuses on developing the techniques necessary to solve games. In the latter part of the course, game theoretic analysis is applied to a variety of topics, including, but not limited to, principal agent problems, auctions, and voting. Students see how the tools developed early in the course can be applied to a vast array of problems in economics and related disciplines.",
ECON 3170 - Ethics and Global Capitalism,ECON,3170,,"The course is a study of ethical arguments supporting and critical of capitalist economic and social systems. Topics to be addressed may include property rights, justice, desert, equality, and sustainable capitalism.",Junior or Senior standing.
ECON 3171 - International Business Economics,ECON,3171,,"Survey of international trade and international monetary theory including determination of international trade patterns, welfare implications of international trade and trade restrictions, economic integration, exchange rate determination, and the balance of payments. Credit will not be given for ECON 3171 where credit has already been given for ECON 4171 or ECON 4172 .",
ECON 3181 - Sports Economics,ECON,3181,,"Application of economic principles to professional and amateur sports.  Topics include:  league structure, team decision-making, labor relations, incentive structures, college athletics, and stadium financing.",Junior or Senior standing.
ECON 3400 - Economic Internship,ECON,3400,,"Provides a meaningful work experience in the field of economics.  Requires a minimum of 150 hours of supervised employment, 50 hours of work per credit hour.  Student is responsible for securing internship and completing internship application and approval process prior to registering for the course.  Internship must be approved by instructor.  Application process and course registration must be completed prior to beginning internship.  All proposals are subject to departmental approval.  Students may not earn internship credit for work at a current employer.  May be used to meet requirements of a major or minor elective, up to a maximum of three credit hours.  Cannot be taken for credit at the same time or following any other internship for credit.",Junior or Senior standing; and Economics major or minor in good standing
ECON 3500 - Economics Cooperative Education Experience,ECON,3500,,"Enrollment in this course is required for the department’s Cooperative Education students during each semester they are working in the position.   Participating students pay a course registration fee for transcript notation.  Assignments must be arranged and approved in advance.  The Cooperative Education Program is only open to undergraduate students; graduate level students are encouraged to contact their academic departments to inquire about academic or industrial internship options for credit.  For more information, contact the University Career Center.",Economics major.
ECON 3895 - Directed Individual Study,ECON,3895,,Independent study of a theoretical and/or a policy problem in a special area of economics. Students may pursue a particular program in depth. Topics of the investigation may originate from the student or from the faculty member supervising the study.,
ECON 4100 - Mathematical Economics,ECON,4100,,"Both microeconomic and macroeconomic problems are analyzed with quantitative techniques. Emphasis is given to the study of methods for mathematically formulating economic relationships including the tools used for finding maximums, minimums, and limits to single, recursive, and simultaneous economic relationships.",
ECON 4112 - Econometrics II,ECON,4112,,"Investigates advanced data analysis techniques commonly used by economists, focusing on applications, understanding the strengths and limitations of the methods involved, using statistical and econometric software, and interpreting results. Techniques covered include, but are not limited to, models for dependent variables that are binary in nature, estimation of nonlinear relationships, analysis of panel data , and consequences of violation of the classical linear regression model assumptions.",
ECON 4116 - Public Finance,ECON,4116,,"Revenue and expenditure problems of governmental units, intergovernmental financial relationships and the impact of federal fiscal policy upon the American economy.",
ECON 4117 - Business and Economic Forecasting,ECON,4117,,"Analysis of fluctuations in economic activity, including production, employment, prices and industry sales. Topics include: forecasting methods, business cycle theories, historical record, industry and sales forecasting.",
ECON 4135 - Economics of Growth and Development,ECON,4135,,Theories of economic growth and development applied to varying economic and social systems. Emphasis on current theoretical models of technological innovation and growth.,
ECON 4150 - Urban and Regional Economics,ECON,4150,,"Spatial and economic organization of cities and regional areas and their special economic problems. Topics include: economic growth, urban location and land use, poverty, housing, public finance, and urban transportation.",
ECON 4171 - Economics of International Trade,ECON,4171,,"Theory of international trade, including determination of international trade patterns, welfare implications of international trade, economic integration, and effects of tariffs and quotas.",
ECON 4172 - Economics of International Finance,ECON,4172,,"Survey of international monetary theory. Topics include: exchange rate determination, balance of payments and adjustment, international liquidity, capital movements, international financial organizations, and monetary reform proposals.",
ECON 4177 - History of Economic Thought,ECON,4177,,"History of economics as a science and the evolution of theories of value, distribution and employment. Review of the works of Adam Smith, Thomas Malthus, David Ricardo, Karl Marx, Alfred Marshall, Thorstein Veblen, and John Maynard Keynes.",
ECON 4180 - Industrial Organization and Public Policy,ECON,4180,,"An examination of monopolistic competition, oligopoly, and monopoly and questions of public policy in dealing with problems created by industrial concentration.",
ECON 4181 - Energy and Environmental Economics,ECON,4181,,"Economic issues of both energy and environment. Energy issues include the historical development of energy resources, supply and demand considerations and projections of the future energy balance. Environmental issues are externalities, common property resources, and government regulation. Policy considerations include environmental standards, pollution charges, and property rights. Cost benefit analysis and microeconomic theory are applied.",
ECON 4200 - Senior Seminar,ECON,4200,,An integrative capstone course for the Economics major that should normally be taken during the student’s last semester of study. The primary objective is to provide a framework in which Senior Economics majors can review and solidify their understanding of economic concepts by applying those concepts to specific economic issues. Topics vary. Analytical ability and written and oral communication skills are assessed.,Economics major and Senior standing.
EDUC 1000 - Introductory Topics in Education,EDUC,1000,,"May include classroom and/or clinical experiences related to schooling, teaching, learning, educational policy, and/or curriculum.",
Prospect Curriculum,EDUC,1100,,"For Freshmen students interested in the field of education and the teaching professions. Provides a foundational introduction to education including the social, historical, and philosophical foundations, the organization and various levels of schools, and major issues in American education. 12 hours of field-based activities in school and non-classroom settings are required. Includes the University Prospect for Success engagement curriculum. Students who have earned credit for EDUC 1511 may not take EDUC 1100 .",
EDUC 1511 - Local Social Science: Public Education and Schooling in the U.S.,EDUC,1511,,"All Local Theme courses explore the central, unifying question of what it means to be a member of the “local” community in which we live. Through the study of the experiences of different peoples, cultures, and communities in our city, our region, or our nation students will be able to better understand themselves in the context of the complex and diverse society in which we live. As education impacts us all and schools are sites of opportunity, change, and even controversy, this class will explore major interdisciplinary issues of education in America including social, historical and philosophical ideas pertaining to education. This class is designed for any student seeking to explore PreK-12 education and will include experiential opportunities to learn more about schools and advocacy opportunities for education as a change agent within society. May not be taken for credit and for a grade if credit has been received for EDUC 2100 .",
EDUC 2100 - Foundations of Education and Diversity in Schools,EDUC,2100,,"For students interested in the field of education and the teaching professions. An introduction to education, including the social, historical, and philosophical foundations, the organization and various levels of schools, and major issues in American education. 12 hours of field-based activities in observing in school and non-classroom settings are required. Students who have earned credit for EDUC 1100 may not take EDUC 1511 . May not be taken for credit and for a grade if credit has been received for EDUC 1511 .",
EDUC 3200 - Service Learning Teaching Methods for K-12 Educators,EDUC,3200,,"In-depth service learning opportunities for students who will become public school educators. Definitions of community service, volunteerism, democratic education, service-learning pedagogy, community partnership, and leadership are examined.",
EDUC 3400 - Education Internship,EDUC,3400,,"Enrollment in this course is required for students involved in professional work experiences offered through the College of Education internship program. Assignments must be arranged and approved in advance. Only open to undergraduate students; graduate level students are encouraged to contact their academic departments to inquire about academic or industrial internship opt ions for credit. For more information, contact the Office of Teacher Education Advising and Licensure  in the College of Education.",A 2.5 GPA and approval by the College internship coordinator.
EDUC 3500 - Education Cooperative Education Experience,EDUC,3500,,"Enrollment in this course is required for students involved in professional work experiences offered through the cooperative education program.  Participating students pay a course registration fee for transcript notation.  Assignments must be arranged and approved in advance.  The Cooperative Education Program is only open to undergraduate students; graduate level students are encouraged to contact their academic departments to inquire about academic or industrial internship options for credit.  For more information, contact the University Career Center.",A 2.5 GPA and approval by the College internship coordinator in conjunction with the University Career Center.
EDUC 3600 - Teaching Fellows Seminar,EDUC,3600,,"A discussion-oriented course in contemporary school issues led by the program’s director to cover Teaching Fellows Program expectations and prepare students to participate in required school, community, campus, and other enrichment activities.",Membership in good standing in the North Carolina Teaching Fellows Program.
EDUC 3789 - Seminar: Honors in Education,EDUC,3789,,"Prepares Honors students for a successful Honors project by introducing them to the Honors in Education program and by helping them identify an appropriate committee chair and reader.  Also covers guidelines for preparing an Honors project, including appropriate designs and themes.  Culminates in the presentation and defense of an acceptable Honors project proposal.",Admission to the Honors in Education program.
EDUC 3790 - Honors Thesis in Education,EDUC,3790,,"Honors students conduct their research and data analysis, and they write and defend their thesis before their honors committee. A grade of A is required for honors recognition from UNC Charlotte. The thesis must be approved and substantially completed  prior to the student teaching seminar.",Approval of a proposal through the Honors College Application to Candidacy process the semester prior to taking the course.
EDUC 4000 - Topics in Education,EDUC,4000,,May include classroom and/or clinical experiences in the content area.,"Admission to a Teacher Education program, major, or minor."
EDUC 4200 - Current Issues in Global Education,EDUC,4200,,"Students demonstrate an understanding of global issues that impact local teaching and learning ideals.  The course is reading and writing intensive, as students are required to reflect on and analyze instruction for diverse learners using a variety of flexible and adaptable instructional methods appropriate for learning in a globalized educational context.  Focuses on issues that students may choose to explore in depth during their study abroad/local experience and through the capstone course of the Minor in Applied Understandings in Global Education.",Completion of Phases I and II of the Minor in Applied Understandings in Global Education.
EDUC 4201 - Education and Globalization: Theory and Practice Seminar,EDUC,4201,,"Students showcase global issues that impact local teaching and learning ideals researched in EDUC 4200 and address action steps toward potential solutions.  The course is writing and public speaking intensive, as the seminar prepares candidates to develop a presentation and present it before an audience of faculty, community members, and students.  The purpose of the showcase is for candidates to disseminate knowledge gained during their in-depth exploration on a topic related to learning in a globalized educational context .  The aim of the showcase presentation is to educate and inform the audience and begin to advocate for global education.",Completion of Phases I and II of the Minor in Applied Understandings in Global Education.
EDUC 4290 - Modifying Instruction for Learners with Diverse Needs,EDUC,4290,,"Strategies for adapting standard instruction to meet the learning needs of diverse learners, including students at risk for school failure, individuals from culturally and linguistically diverse backgrounds, gifted learners, and students with disabilities.","Admission to Teacher Education, and enrollment in a methods course with field experience requirement."
EDUC 4291 - Modifying Instruction for Learners with Diverse Needs in Secondary Schools,EDUC,4291,,"Strategies for adapting standard instruction to meet the learning needs of all members of secondary classrooms, including students at risk for school failure, individuals from culturally and linguistically diverse backgrounds, gifted learners, and students with disabilities.",
ELDT 4100 - Foundations for Effective Technology Integration,ELDT,4100,,"Instructional methods and technological tools for innovative and effective teaching and learning.  Hybrid and online delivery methods will be explored. Other significant topics include models of technology integration and lesson planning, tools for instruction and communication, building professional learning networks, and leveraging technology to meet the needs of all learners.",
ELDT 4135 - Audiovisual Communications,ELDT,4135,,"Overview of traditional and emerging audiovisual media for education, training, marketing, and public relations, emphasizing knowledge and skills for evaluating, designing, producing, and using media such as photography, television, displays, interactive video, and microcomputers to enhance communication.",Junior or Senior standing or departmental approval.
ELDT 4140 - Educational Television,ELDT,4140,,"An examination of traditional and emerging applications of telecommunications media for teaching, training and informing. Investigation of published research and current strategies for evaluating the social and educational impact of television. Students will evaluate, design, produce, and utilize telecommunications media in micro-teaching settings for the enhancement of communication in their respective disciplines.",Junior or Senior standing or departmental approval.
RSCH 4101 - Education Research Methods,RSCH,4101,,"An orientation to designs and procedures utilized in educational research, emphasizing basic principles for conducting research, interpreting and evaluating published articles representative of educational problems and issues .",
ECGR 2103 - Computer Utilization in C++,ECGR,2103,,Introduction to the use of computers and computing methods to solve engineering problems. Structures and object-oriented programming design using C++.,Computer Engineering or Electrical Engineering major or minor
ECGR 2104 - Computer Engineering Programming II,ECGR,2104,,"Advanced topics in C++ such as: pointers, recursion, inheritance, polymorphism, and templates. Introduction to linked data structures and analysis of algorithms.",Engineering major or minor.
ECGR 2111 - Network Theory I,ECGR,2111,,Ohm’s Law and the passive sign convention in circuit analysis.  Introduction to Kirchoff’s laws.  Circuit analysis techniques and network theorems.  Energy-storage elements in circuits.  Transient and natural response of first-order circuits.,Computer Engineering or Electrical Engineering major or minor
ECGR 2112 - Network Theory II,ECGR,2112,,Continuation of ECGR 2111 . Transient and natural response of second-order circuits.  Complex numbers.  Sinusoidal steady state analysis and phasors.  Power and energy in single-phase circuits.  Frequency-domain analysis and Bode Plots.  Introduction to Laplace transforms and transfer functions.,Engineering major or minor
ECGR 2155 - Instrumentation and Networks Laboratory,ECGR,2155,,"Network measurements and applications, introduction to laboratory equipment and techniques.",Computer Engineering or Electrical Engineering major or minor
ECGR 2156 - Logic and Networks Laboratory,ECGR,2156,,"Experimental logic design, network measurements, applications, and instrumentations.",Engineering major or minor.
ECGR 2161 - Basic Electrical Engineering I,ECGR,2161,,"Fundamental concepts and methods of analysis of D.C. and A.C. circuits, elementary operation of electronic devices. Not open to Electrical and Computer Engineering majors.",Engineering major or minor.
ECGR 2181 - Logic Systems Design,ECGR,2181,,Introduction to Boolean algebra; mixed logic; design of combinational circuits; introduction to sequential systems; MSI building blocks; digital systems design and test; design of multi-input based controller systems; programmable logic devices.  Includes laboratory design projects.,Computer Engineering or Electrical Engineering major or minor
ECGR 2252 - ECE Sophomore Design,ECGR,2252,,"Introduction to the electrical engineering design process including teamwork, design specifications, conceptual design, detailed design, design integration, cost estimation and market considerations.  Product design projects are completed and laboratory prototypes are developed and tested by design teams.  Oral presentations and written technical reports on the design projects are required.",Engineering major or minor.
ECGR 2254 - Analytical Foundations of Electrical and Computer Engineering,ECGR,2254,,"Use of MATLAB for numeric simulation analysis, complex numbers, real and complex functions, signal representation, functional approximation by curve fitting, introduction to functions of a discrete variable, linear differential equations, Laplace transforms used for solving linear differential equations, Fourier series and Fourier transforms and their use in solving electrical and computer engineering problems.",Engineering major or minor
ECGR 2255 - Digital Design Laboratory,ECGR,2255,,Experiments in Digital Systems Design including the use of Programmable Logic Devices. Upper division engineering courses  used to satisfy degree requirements within the College of Engineering are restricted to majors and minors of the College of Engineering.,Engineering major or minor.
ECGR 3090 - Special Topics,ECGR,3090,,"The course builds upon and synthesizes knowledge from the engineering science, mathematics, and physical sciences stem of the core curriculum. The specific topics teach engineering analysis, synthesis, and design, while simultaneously affording an opportunity for the students to investigate an area of specialization.","Engineering major or minor, and permission of department."
ECGR 3101 - Embedded Systems,ECGR,3101,,Introduction to designing microcontroller-based embedded computer systems using assembly and C programs.  Examination of real-time operating systems and their impact on performance.  Computer engineering applications are emphasized.,Engineering major or minor.
ECGR 3111 - Signals and Systems,ECGR,3111,,"Analysis of continuous-time and discrete-time signals and systems. Input-output relationships of linear time-invariant systems. Transient and steady state analysis. Frequency domain descriptions, Fourier analysis and the Discrete Fourier Transform. Introduction to Z Transform, its properties, and its relation to LTI systems. Use of Laplace transform for LTI Systems.",Engineering major or minor.
ECGR 3112 - System Analysis II,ECGR,3112,,"Introduction to Feedback systems, Laplace Transform theorems and Inverse Laplace transform using partial fraction, Systems analysis using Laplace transform. Transfer functions, Block diagrams and signal flow graphs. BIBO Stability, Routh-Hurwitz Criterion, Root locus method, Time domain response, Effects of adding poles and zeros, PID controllers, and introduction to State-space.",Engineering major or minor
ECGR 3121 - Introduction to Electromagnetic Fields,ECGR,3121,,"A study of electric and magnetic fields using the vector formulation. Vector analysis. Electrostatics: potential functions, dielectrics, capacitance, energy, and forces associated with electric fields, solution of Laplance’s and Poisson’s equations. Magnetostatics: vector potential functions, Lorentz forces, hysteresis, magnetic polarization and induction, and energy. Gauss’s, Ampere’s, Faraday’s laws, etc., leading to the Maxwell’s equations.",Engineering major or minor.
ECGR 3122 - Electromagnetic Waves,ECGR,3122,,"A study of Maxwell’s equations, transmission line theory, plane waves in media, propagation of electromagnetic waves in various media. The phenomena of reflection and refraction at interfaces of two dissimilar materials. Guided electromagnetic waves in coaxial cables and waveguides.",Engineering major or minor.
ECGR 3123 - Data Communications and Networking,ECGR,3123,,"An introduction to data communications, including transmission media, signal encoding, link control, and multiplexing. Concepts of networking including protocols, LAN, WAN, and wireless networks.",Engineering major or minor.
ECGR 3131 - Fundamentals of Electronics and Semiconductors,ECGR,3131,,"Study of the fundamental concepts and applications of semiconductor devices. Diode characteristics and applications, including clipping and rectifier circuits. MOS, JFET, and bipolar transistor fundamentals, including D.C. biasing and small-signal analysis of single-stage amplifiers. Operational amplifier fundamentals.",Engineering major or minor.
ECGR 3132 - Electronics,ECGR,3132,,Low and high-frequency analysis of transistor amplifiers. Multistage and feedback amplifier design. Stability and oscillation. Operational amplifier design and applications.,Engineering major or minor.
ECGR 3133 - Solid State Microelectronics I,ECGR,3133,,"Simple crystal structures, energy bands, and charge carriers in semiconductors, distribution functions for photons and electrons, optical and electrical properties, carrier diffusion, generation, and recombination.",Engineering major or minor.
ECGR 3142 - Electrical Energy Conversion,ECGR,3142,,Principles of operation and basic design features of electromechanical energy converters; three phase power.  The role of the magnetic field in transformers and electrical machines; Generation of induced voltages; Electromechanical torque development; Speed control; Circuit models and machine performance; Photovoltaic power conversion.,Engineering major or minor.
ECGR 3155 - Systems and Electronics Laboratory,ECGR,3155,,Systems and signals measurements and applications; electronic circuits.,Engineering major or minor.
ECGR 3156 - Electromagnetic and Electronic Devices Laboratory,ECGR,3156,,Measurements and applications of electromagnetic and solid state devices.,Engineering major or minor.
ECGR 3157 - ECE Junior Design,ECGR,3157,,Application of conceptual design; circuit design; parameter sensitivity analysis; cost-performance tradeoff analysis and interconnection compatibility design.  A design project completed in a laboratory setting and a written technical report and oral presentation on the project are required.,Engineering major or minor
ECGR 3159 - Professional Practice,ECGR,3159,,Ethics; safety and liability in the manufacturing workplace; product design; product development; cost estimating for nonrecurring engineering work; production planning; Total Quality Management; and effective technical presentation.,Senior standing and Engineering major or minor.
ECGR 3180 - Data Structures and Algorithms in C++,ECGR,3180,,"An introduction to data structures and algorithms.  Emphasis is placed on practical implementations in an object-oriented framework using the C++ programming language.  Additionally, students are introduced how to select data structures and algorithms that are appropriate for engineering-centric computational problems that they encounter.",
ECGR 3181 - Logic System Design II,ECGR,3181,,Digital systems design and test. Top-down design of multi-input based controller systems; programmable logic devices.,Engineering major or minor.
ECGR 3183 - Computer Organization,ECGR,3183,,"Introduction to key concepts in computer organization, design, and engineering.  Topics include: CPU performance analysis, instruction set design, systems-level view of computer arithmetic, design of the datapath and control for a simple processor using VHDL, pipelining, hierarchial memory, I/O systems.",
ECGR 3695 - Electrical and Computer Engineering Cooperative Education Seminar,ECGR,3695,,Required for co-op students during semesters immediately following each work assignment for presentation of engineering reports on work done the prior semester.,"Engineering major or minor, and permission of the ECE department’s co-op advisor"
ECGR 3890 - Individualized Study,ECGR,3890,,Supervised individual study within an area of a student’s particular interest which is beyond the scope of existing courses.,"Engineering major or minor, and permission of department."
ECGR 3990 - Undergraduate Research,ECGR,3990,,Independent study of theoretical and/or experimental problems in the specialized area of engineering analysis and design.  Students may pursue a particular area or problem to a depth much greater than can be undertaken within the scope of existing courses.,"Engineering major or minor, and permission of department."
ECGR 4090 - Special Topics,ECGR,4090,,Directed study of current topics of special interest.,"Engineering major or minor, and permission of department."
ECGR 4100 - Research Tools and Techniques in Computer Engineering,ECGR,4100,,"Introduction to the fundamentals of computer engineering research and the practical tools required to collect, analyze, and report research results.  Key engineering mathematics topics are covered, such as the propositional and predicate calculus, analysis of algorithms, and graph theory.  Students are exposed to compiling software packages and device drivers, as well as the conventions for developing similar software.",Senior standing; Engineering major or minor or permission of instructor
ECGR 4101 - Advanced Embedded Systems,ECGR,4101,,"An advanced course in embedded system design utilizing advanced microprocessors.  Architecture, software, and interface techniques.  This course is project-oriented, involving the use of a logic analyzer and hardware design tools.",Engineering major or minor.
ECGR 4102 - Engineering Simulation,ECGR,4102,,"A wide range of simulation related topics are introduced including the theory of simulation, characteristics of simulators, and trade-offs in simulation studies. Continuous and discrete simulation with primary emphasis on application of simulation techniques to engineering problems. Simulation of actual problems based on students’ interest and experience areas.",Engineering major or minor.
"ECGR 4103 - Machine Vision, AI and Image Processing",ECGR,4103,,"An introduction to the theory and application of perceptual machine learning, computer vision and digital image processing including applications in society such as computer vision, robotics, medicine, science, and public health, safety and welfare.",Engineering major or minor.
ECGR 4104 - Computational Methods in Power Systems,ECGR,4104,,"Numerical techniques for analysis, operation, and planning of power systems. Sparse matrix techniques applied to power flow algorithms. Economic operation of power systems. Optimum power flow.",Engineering major or minor.
ECGR 4105 - Introduction to Machine Learning,ECGR,4105,,"Machine learning is a sub-field of Artificial Intelligence that gives computers the ability to learn and/or act without being explicitly programmed. This course examines the necessary theory, principles and algorithms for machine learning.  Topics include: supervised, unsupervised learning approaches , optimization procedures, and statistical inference.  Students digest and practice their knowledge and skills by class discussion, homework, and exams, as well as obtain in-depth experience with a particular topic through a final project.  To prepare students to be successful in this course, light reviews on linear algebra and matrix analysis and programming tutorials are provided as additional course reading materials. Credit Hours: Prerequisite: ECGR 3101  or ECGR 3111  Cross-listed Course: ECGR 5105",
ECGR 4106 - Real-Time Machine Learning,ECGR,4106,,"An interactive practical introduction to real-time machine learning and deep learning inference based on leveraging GPU and CPU platforms.  Introduces Convolutional Neural Networks  and Recurrent Neural Networks  inference algorithms for real-time computer vision and scene analysis, including object detection, pose estimation, and activity recognition.  Examines basic deep learning constructs based on current design tools . Credit Hours: Prerequisite: ECGR 3101  or ECGR 3111  Cross-listed Course: ECGR 5106",
ECGR 4111 - Control Systems Theory I,ECGR,4111,,"The fundamentals of modern multi-input-multi-output control systems and preliminary analysis of nonlinear systems via the method of linearization.  Time domain analysis of control systems.  Design of state-feedback controller via the method of pole-placements.  Determining controllability and observability of linear systems.  The design and compensation of control systems, Phase lead, lag controller synthesis, Nyquist Stability criterion and frequency domain responses.  Credit will not be given for ECGR 4111 where credit has been given for ECGR 5411.",Engineering major or minor
ECGR 4112 - Principles of Digital Control Systems,ECGR,4112,,"Introduction to digital control system principles.  Topics include: z-transform, Laplace transform, and starred transform analysis, pulse transfer functions, digital lag, digital lead, and digital PID controller design, closed-loop stability of digital control systems, and introduction to state-variable methods.",Engineering major or minor
ECGR 4115 - Convex Optimization and AI Applications,ECGR,4115,,"Focuses on the theory and the algorithmic aspects of convex optimization. Topics include: convex sets, convex functions, and convex optimization problems; duality theory and optimality conditions; algorithms for solving convex problems; use of numerical tools to solve problems; and, if time permits, non-convex optimization problems.  Also  discussed are applications of the materials to engineering topics such as signal processing, control, robotics, machine learning, statistics, and related engineering problems.",Junior standing or permission of instructor
ECGR 4116 - Artificial Intelligence for Biomedical Applications,ECGR,4116,,"Introduction to fundamental concepts of Artificial Intelligence  and its application to biomedical domain. Exposure to pattern recognition, medical image processing, algorithms and machine learning frameworks using Python.",
ECGR 4117 - AI for Robotics and Automation,ECGR,4117,,"The objective of this course is to provide students with a working knowledge of foundational theory, algorithms and design used for creating autonomous robotic systems. The course also provides students an understanding of how foundational algorithms in this area can be translated from a formal algorithmic implementation to a Deep Learning  or Artificial Intelligence  implementation. Credit will not be given for ECGR 4117 where credit has been given for ECGR 5117.",
ECGR 4121 - Antennas,ECGR,4121,,"Radiation into free space, the point source, thin linear antenna, arrays of linear elements, aperture antennas, impedance, methods of feeding, matching and termination. Antenna systems.",Engineering major or minor.
ECGR 4122 - Acoustics,ECGR,4122,,"Vibrations and simple vibrating systems; radiating systems; plane waves of sound, dynamic analogies, microphones and other acoustic transducers; acoustic measurements.",Engineering major or minor.
ECGR 4123 - Analog and Digital Communication,ECGR,4123,,"Analysis and transmission of signals, including analog communication systems ; digital communications systems .",Engineering major or minor.
ECGR 4124 - Digital Signal Processing,ECGR,4124,,Sampling and signal recovery in linear systems; analysis of sampled systems; discrete and fast Fourier transforms; z-transform; discrete convolution; design of digital FIR and IIR filters.,Engineering major or minor.
ECGR 4125 - Foundation of Optical Engineering,ECGR,4125,,"The engineering aspects and applications of modern optics, optical communications, optical materials, optical devices, basic optical fiber and integrated optics, optical signals, and optical modulation, multiplexing, and related networks, basic Fourier optics and its application in optical images and information. Credit will not be given for ECGR 5125 where credit has been given for ECGR 4125 .",Engineering major or minor.
ECGR 4127 - Machine Learning for the Internet of Things,ECGR,4127,,"Introduces the concepts and skills necessary to design, train, and deploy machine learning models in resource-constrained devices.  Topics include: analysis of the computational requirements of machine learning models; requirements of edge-deployed machine learning; techniques to reduce storage, computation, and latency; and software tools available.  The concepts are applied through a series of projects.",
ECGR 4131 - Linear Integrated Electronics,ECGR,4131,,"Design of linear integrated circuits utilizing bipolar and MOS devices. Application in linear amplifier design, control, and processing of analog signals.",Engineering major or minor.
ECGR 4132 - Analog Integrated Circuits Design,ECGR,4132,,"Topics include: analog MOS modeling, design of current mirrors, references, and operational amplifiers. Both hand analysis and SPICE simulation utilized.",Engineering major or minor.
ECGR 4134 - Solid State and Semiconductor Microelectronics II,ECGR,4134,,PN-junctions and Schottky junctions; bipolar and field effect transistors; optoelectronic and heterojunction devices; lithography and integrated circuits; microwave devices; light emitting devices and detectors; quantum devices using superlattices; quantum wells and quantum dots; material preparation and characterization; and measurement techniques.,Engineering major or minor.
ECGR 4136 - Semiconductor Optoelectronic Materials and Devices,ECGR,4136,,Direct and indirect bandgap materials; Compound and wide bandgap semiconductors; Electronic properties; Optical properties; Generation and recombination; Junction theory; Light emitting devices; Optical detectors.,Engineering major or minor.
ECGR 4138 - Electronic Thin Film Materials and Devices,ECGR,4138,,"Applications of thin films in microelectronics/optoelectronics manufacturing processes; vacuum technology, deposition techniques, and the characterization methods relevant to optoelectronic applications; thin film applications such as metallization, silicide formation, light emitting diodes  and lasers, and doping of semiconductors.",Engineering major or minor.
ECGR 4141 - Power System Analysis I,ECGR,4141,,Representation of power system components for analysis studies. Transmission line parameters. Network equations. Load flow analysis and numerical methods.,Engineering major or minor.
ECGR 4142 - Power System Analysis II,ECGR,4142,,Economic operation of power systems. Short circuit studies. Symmetrical components. Transient stability analysis.,Engineering major or minor.
ECGR 4143 - Electrical Machinery,ECGR,4143,,Advanced theory of transformers and rotating. Machines; harmonic and saturation effects on machine performance. Unbalanced operation and transient conditions.,Engineering major or minor.
ECGR 4144 - Power Electronics I,ECGR,4144,,"High power solid state circuits. Topics include: power transfer, DC/DC converters, DC/AC inverters, AC/DC rectifiers, gate-drive circuits for linear and switching amplifiers, pulse-width modulators, power semiconductors, control and converter modeling, renewable energy system integration.",Engineering major or minor.
